"60.55","100",".1972999088.1972999824",".1972999088.1972999888","0","0","0",".1972999088.1972999600","0",".1972999088.1972998224",".1972999088.1972999696","18:48:43"
"60.55","100",".1972278192.1972278960",".1972278192.1972279024","0","0","0",".1972278192.1972278768","0",".1972278192.1972278512",".1972278192.1972278832","18:48:43"
"60.55","100",".1972671408.1972672176",".1972671408.1972672240","0","0","0",".1972671408.1972671984","0",".1972671408.1972671728",".1972671408.1972672048","18:48:43"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","18:48:43"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","18:48:43"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","18:48:43"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","18:48:43"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","18:48:43"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","18:48:43"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","18:48:43"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","18:48:43"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","18:48:43"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","18:48:43"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","18:48:43"
