"60.55","100",".1972999088.1972999824",".1972999088.1972999888","0","0","0",".1972999088.1972999600","0",".1972999088.1972998224",".1972999088.1972999696","13:58:52"
"60.55","100",".1972278192.1972278960",".1972278192.1972279024","0","0","0",".1972278192.1972278768","0",".1972278192.1972278512",".1972278192.1972278832","13:58:52"
"60.55","100",".1972671408.1972672176",".1972671408.1972672240","0","0","0",".1972671408.1972671984","0",".1972671408.1972671728",".1972671408.1972672048","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
"60.55","100",".1972962224.1972962992",".1972962224.1972963056","0","0","0",".1972962224.1972962800","0",".1972962224.1972962544",".1972962224.1972962864","13:58:52"
